Tiempo	Ankle Flex/Ext	Knee Int/Ext R.	Inversion/Eversion
0.016000	9.997594	4.892799	-45.895373
0.017000	9.997594	4.858022	-45.893282
0.018000	9.997594	4.846430	-45.891191
0.019000	9.997594	4.811653	-45.889623
0.020000	9.997594	4.800060	-45.888054
0.021000	10.022165	4.788468	-45.887009
0.022000	10.046737	4.800060	-45.884918
0.023000	10.071308	4.811653	-45.882827
0.024000	10.108165	4.823245	-45.881782
0.025000	10.132737	4.858022	-45.881259
0.026000	10.157308	4.881207	-45.881259
0.027000	10.181879	4.892799	-45.881259
0.028000	10.206451	4.904392	-45.881259
0.029000	10.231022	4.915984	-45.881259
0.030000	10.255593	4.915984	-45.880736
0.031000	10.267879	4.927577	-45.880736
0.032000	10.255593	4.915984	-45.880736
0.033000	10.243308	4.915984	-45.881259
0.034000	10.218736	4.927577	-45.881782
0.035000	10.194165	4.904392	-45.882304
0.036000	10.169594	4.892799	-45.882827
0.037000	10.145022	4.869615	-45.883350
0.038000	10.132737	4.846430	-45.882827
0.039000	10.108165	4.823245	-45.882827
0.040000	10.095879	4.811653	-45.882827
0.041000	10.095879	4.811653	-45.881782
0.042000	10.108165	4.765283	-45.880736
0.043000	10.120451	4.730506	-45.879691
0.044000	10.132737	4.707321	-45.878645
0.045000	10.145022	4.684136	-45.877600
0.046000	10.157308	4.660952	-45.876554
0.047000	10.169594	4.672544	-45.875509
0.048000	10.181879	4.672544	-45.874464
0.049000	10.206451	4.672544	-45.873418
0.050000	10.231022	4.649359	-45.872373
0.051000	10.280165	4.637767	-45.871327
0.052000	10.329307	4.684136	-45.870282
0.053000	10.378450	4.730506	-45.869236
0.054000	10.427593	4.765283	-45.868713
0.055000	10.452164	4.800060	-45.868713
0.056000	10.501307	4.834837	-45.868713
0.057000	10.538164	4.858022	-45.868713
0.058000	10.562735	4.858022	-45.869759
0.059000	10.562735	4.881207	-45.871327
0.060000	10.550450	4.904392	-45.872895
0.061000	10.538164	4.927577	-45.874464
0.062000	10.525878	4.950761	-45.876032
0.063000	10.513593	4.973946	-45.878123
0.064000	10.501307	4.985538	-45.879691
0.065000	10.489021	4.985538	-45.881259
0.066000	10.476736	5.008723	-45.882827
0.067000	10.464450	5.066685	-45.884395
0.068000	10.427593	5.101462	-45.886486
0.069000	10.390736	5.078278	-45.888577
0.070000	10.353879	5.055093	-45.890668
0.071000	10.317022	5.043500	-45.891714
0.072000	10.304736	5.043500	-45.892759
0.073000	10.292450	5.055093	-45.894327
0.074000	10.267879	5.055093	-45.895895
0.075000	10.243308	5.078278	-45.896418
0.076000	10.231022	5.089870	-45.895895
0.077000	10.243308	5.089870	-45.895895
0.078000	10.255593	5.089870	-45.896418
0.079000	10.255593	5.089870	-45.896941
0.080000	10.243308	5.078278	-45.895895
0.081000	10.231022	5.031908	-45.895373
0.082000	10.218736	4.997131	-45.894850
0.083000	10.206451	4.950761	-45.894327
0.084000	10.194165	4.858022	-45.894327
0.085000	10.206451	4.788468	-45.893282
0.086000	10.218736	4.753691	-45.892236
0.087000	10.231022	4.730506	-45.891191
0.088000	10.231022	4.707321	-45.891191
0.089000	10.218736	4.672544	-45.891191
0.090000	10.181879	4.602990	-45.890145
0.091000	10.157308	4.556620	-45.889100
0.092000	10.132737	4.487066	-45.888577
0.093000	10.095879	4.440696	-45.888577
0.094000	10.046737	4.417511	-45.887532
0.095000	9.997594	4.405919	-45.885441
0.096000	9.973023	4.394327	-45.883350
0.097000	9.973023	4.417511	-45.882827
0.098000	9.973023	4.475473	-45.882304
0.099000	9.973023	4.533435	-45.882304
0.100000	9.973023	4.602990	-45.882304
0.101000	9.973023	4.695729	-45.881259
0.102000	9.960737	4.776876	-45.880736
0.103000	9.936166	4.834837	-45.880214
0.104000	9.911594	4.881207	-45.879691
0.105000	9.899309	4.939169	-45.878123
0.106000	9.887023	4.997131	-45.876554
0.107000	9.887023	5.101462	-45.876032
0.108000	9.887023	5.194201	-45.875509
0.109000	9.887023	5.298533	-45.874986
0.110000	9.911594	5.402864	-45.874464
0.111000	9.936166	5.495604	-45.874464
0.112000	9.948451	5.565158	-45.874986
0.113000	9.948451	5.634712	-45.875509
0.114000	9.936166	5.657897	-45.875509
0.115000	9.911594	5.669489	-45.875509
0.116000	9.887023	5.681082	-45.874464
0.117000	9.862452	5.681082	-45.873418
0.118000	9.837880	5.681082	-45.872895
0.119000	9.813309	5.681082	-45.872373
0.120000	9.813309	5.692674	-45.872373
0.121000	9.801023	5.692674	-45.872373
0.122000	9.813309	5.681082	-45.872895
0.123000	9.825595	5.657897	-45.873418
0.124000	9.837880	5.588343	-45.872895
0.125000	9.837880	5.507196	-45.872895
0.126000	9.837880	5.437642	-45.872895
0.127000	9.825595	5.356495	-45.872895
0.128000	9.813309	5.275348	-45.872895
0.129000	9.825595	5.205794	-45.873418
0.130000	9.837880	5.159424	-45.873941
0.131000	9.850166	5.147832	-45.874464
0.132000	9.887023	5.124647	-45.874986
0.133000	9.923880	5.101462	-45.876032
0.134000	9.960737	5.078278	-45.877077
0.135000	9.997594	5.055093	-45.878123
0.136000	10.034451	5.020316	-45.879168
0.137000	10.059022	4.997131	-45.879168
0.138000	10.108165	4.985538	-45.879168
0.139000	10.120451	4.962354	-45.879168
0.140000	10.120451	4.950761	-45.879168
0.141000	10.108165	4.973946	-45.879691
0.142000	10.120451	5.008723	-45.879168
0.143000	10.120451	5.020316	-45.878645
0.144000	10.120451	5.020316	-45.878645
0.145000	10.120451	5.020316	-45.878645
0.146000	10.108165	5.043500	-45.877600
