Tiempo	Ankle Flex/Ext	Knee Int/Ext R.	Inversion/Eversion
0.000000	9.371024	-0.497661	91.413484
0.001000	9.395596	-0.497661	91.392052
0.002000	9.407881	-0.486069	91.367483
0.003000	9.444739	-0.486069	91.332461
0.004000	9.469310	-0.474476	91.300574
0.005000	9.481596	-0.474476	91.261370
0.006000	9.481596	-0.474476	91.215892
0.007000	9.481596	-0.474476	91.161006
0.008000	9.469310	-0.497661	91.104551
0.009000	9.457024	-0.497661	91.062733
0.010000	9.432453	-0.509254	91.010460
0.011000	9.395596	-0.532438	90.966550
0.012000	9.346453	-0.555623	90.932050
0.013000	9.285025	-0.555623	90.901732
0.014000	9.248168	-0.567216	90.860959
0.015000	9.235882	-0.578808	90.797709
0.016000	9.248168	-0.590400	90.728186
0.017000	9.235882	-0.578808	90.656049
0.018000	9.223596	-0.567216	90.554117
0.019000	9.211311	-0.555623	90.444867
0.020000	9.186739	-0.544031	90.344503
0.021000	9.186739	-0.544031	90.246753
0.022000	9.199025	-0.555623	90.155275
0.023000	9.211311	-0.578808	90.079480
0.024000	9.223596	-0.578808	90.003684
0.025000	9.223596	-0.555623	89.927888
0.026000	9.223596	-0.544031	89.844252
0.027000	9.223596	-0.532438	89.771592
0.028000	9.248168	-0.520846	89.685865
0.029000	9.260453	-0.509254	89.597001
0.030000	9.285025	-0.509254	89.501341
0.031000	9.285025	-0.509254	89.429205
0.032000	9.260453	-0.509254	89.377455
0.033000	9.223596	-0.520846	89.349750
0.034000	9.211311	-0.544031	89.347659
0.035000	9.186739	-0.578808	89.379023
0.036000	9.149882	-0.601993	89.414046
0.037000	9.100739	-0.636770	89.450114
0.038000	9.027025	-0.683139	89.483569
0.039000	8.953311	-0.717917	89.515455
0.040000	8.867312	-0.729509	89.542114
0.041000	8.781312	-0.741101	89.577660
0.042000	8.719883	-0.764286	89.612160
0.043000	8.658455	-0.787471	89.644569
0.044000	8.584741	-0.822248	89.677501
0.045000	8.486456	-0.833841	89.729774
0.046000	8.400456	-0.845433	89.783615
0.047000	8.326742	-0.857025	89.836933
0.048000	8.277599	-0.868618	89.872479
0.049000	8.253028	-0.891802	89.911684
0.050000	8.216171	-0.903395	89.919002
0.051000	8.167028	-0.926580	89.905934
0.052000	8.130171	-0.926580	89.875093
0.053000	8.117885	-0.949764	89.852092
0.054000	8.130171	-0.949764	89.833797
0.055000	8.167028	-0.938172	89.826479
0.056000	8.191599	-0.914987	89.825956
0.057000	8.240742	-0.926580	89.822820
0.058000	8.289885	-0.961357	89.820729
0.059000	8.314456	-0.996134	89.836933
0.060000	8.339027	-1.019319	89.877183
0.061000	8.375884	-1.007726	89.925797
0.062000	8.425027	-1.007726	89.978070
0.063000	8.486456	-1.007726	90.042366
0.064000	8.523313	-1.007726	90.124957
0.065000	8.535598	-0.996134	90.230025
0.066000	8.535598	-0.984542	90.338753
0.067000	8.560170	-0.961357	90.471526
0.068000	8.572455	-0.914987	90.616322
0.069000	8.597027	-0.880210	90.764777
0.070000	8.597027	-0.822248	90.911664
0.071000	8.572455	-0.775879	91.052801
0.072000	8.535598	-0.717917	91.181915
0.073000	8.535598	-0.671547	91.299006
0.074000	8.511027	-0.578808	91.417143
0.075000	8.474170	-0.462884	91.536848
0.076000	8.461884	-0.346960	91.631462
0.077000	8.449599	-0.242629	91.706735
0.078000	8.437313	-0.173074	91.762144
0.079000	8.437313	-0.103520	91.797689
0.080000	8.412741	-0.033966	91.825394
0.081000	8.412741	0.035589	91.842644
0.082000	8.437313	0.081958	91.845258
0.083000	8.461884	0.139920	91.837939
0.084000	8.461884	0.174697	91.823303
0.085000	8.474170	0.186290	91.797689
0.086000	8.461884	0.197882	91.771553
0.087000	8.474170	0.197882	91.726598
0.088000	8.511027	0.197882	91.674848
0.089000	8.535598	0.174697	91.615257
0.090000	8.535598	0.151513	91.561416
0.091000	8.560170	0.093551	91.513848
0.092000	8.609312	0.012404	91.464188
0.093000	8.658455	-0.068743	91.434916
0.094000	8.719883	-0.149890	91.398324
0.095000	8.793598	-0.231036	91.383165
0.096000	8.855026	-0.312183	91.384734
0.097000	8.928740	-0.404922	91.376893
0.098000	8.990168	-0.497661	91.361733
0.099000	9.027025	-0.578808	91.349711
0.100000	9.076168	-0.648362	91.337165
0.101000	9.149882	-0.694732	91.319392
0.102000	9.235882	-0.717917	91.306324
0.103000	9.346453	-0.764286	91.273915
0.104000	9.444739	-0.810656	91.262938
0.105000	9.518453	-0.857025	91.258233
0.106000	9.616738	-0.880210	91.268688
0.107000	9.715023	-0.903395	91.270779
0.108000	9.801023	-0.914987	91.255097
0.109000	9.874737	-0.914987	91.229483
0.110000	9.911594	-0.914987	91.191324
0.111000	9.936166	-0.926580	91.157869
0.112000	9.936166	-0.914987	91.106119
0.113000	9.936166	-0.914987	91.042869
0.114000	9.948451	-0.891802	90.986414
0.115000	9.960737	-0.868618	90.932050
0.116000	9.985308	-0.845433	90.857823
0.117000	9.985308	-0.822248	90.787254
0.118000	9.973023	-0.822248	90.723481
0.119000	9.948451	-0.822248	90.653959
0.120000	9.911594	-0.775879	90.613186
0.121000	9.862452	-0.741101	90.563526
0.122000	9.825595	-0.706324	90.514390
0.123000	9.788738	-0.683139	90.459503
0.124000	9.751880	-0.659955	90.415594
0.125000	9.715023	-0.625178	90.387890
0.126000	9.678166	-0.590400	90.373253
0.127000	9.665881	-0.567216	90.367503
0.128000	9.653595	-0.520846	90.372208
0.129000	9.653595	-0.486069	90.379526
0.130000	9.653595	-0.428107	90.378480
0.131000	9.629024	-0.370145	90.376390
0.132000	9.604452	-0.323775	90.380571
0.133000	9.592167	-0.288998	90.413503
0.134000	9.579881	-0.277406	90.439117
0.135000	9.567595	-0.242629	90.456890
0.136000	9.555310	-0.231036	90.478322
0.137000	9.530738	-0.242629	90.483026
0.138000	9.518453	-0.231036	90.491913
0.139000	9.506167	-0.219444	90.499754
0.140000	9.469310	-0.207852	90.512822
0.141000	9.432453	-0.196259	90.529549
0.142000	9.395596	-0.196259	90.540004
0.143000	9.346453	-0.196259	90.545754
0.144000	9.297310	-0.184667	90.537913
0.145000	9.248168	-0.196259	90.524845
0.146000	9.199025	-0.207852	90.523799
0.147000	9.149882	-0.231036	90.545754
0.148000	9.125311	-0.277406	90.567186
0.149000	9.100739	-0.312183	90.588617
0.150000	9.063882	-0.323775	90.607436
0.151000	9.051597	-0.312183	90.633572
0.152000	9.039311	-0.312183	90.673822
0.153000	9.027025	-0.312183	90.729754
0.154000	9.039311	-0.323775	90.799277
0.155000	9.063882	-0.346960	90.870891
0.156000	9.100739	-0.370145	90.945641
0.157000	9.149882	-0.393330	91.019346
0.158000	9.199025	-0.416515	91.085210
0.159000	9.235882	-0.451292	91.152642
0.160000	9.285025	-0.486069	91.216938
0.161000	9.334167	-0.520846	91.291688
0.162000	9.383310	-0.544031	91.374279
0.163000	9.444739	-0.567216	91.445370
0.164000	9.506167	-0.590400	91.513848
0.165000	9.543024	-0.601993	91.584416
0.166000	9.579881	-0.601993	91.642962
0.167000	9.604452	-0.613585	91.682166
0.168000	9.616738	-0.636770	91.722416
0.169000	9.629024	-0.648362	91.752735
0.170000	9.641309	-0.636770	91.768417
0.171000	9.641309	-0.601993	91.772598
0.172000	9.616738	-0.567216	91.774167
0.173000	9.567595	-0.532438	91.772076
0.174000	9.518453	-0.497661	91.764757
0.175000	9.457024	-0.462884	91.765280
0.176000	9.407881	-0.404922	91.766326
0.177000	9.371024	-0.335368	91.769462
0.178000	9.334167	-0.265813	91.771030
0.179000	9.285025	-0.196259	91.752735
0.180000	9.223596	-0.126705	91.739666
0.181000	9.162168	-0.057150	91.717189
0.182000	9.125311	0.012404	91.690530
0.183000	9.088454	0.070366	91.667007
0.184000	9.076168	0.116735	91.649757
0.185000	9.063882	0.163105	91.618916
0.186000	9.039311	0.174697	91.577620
0.187000	9.014740	0.174697	91.530052
0.188000	8.990168	0.163105	91.484052
0.189000	8.990168	0.139920	91.433870
0.190000	9.014740	0.093551	91.384211
0.191000	9.027025	0.047181	91.339256
0.192000	9.063882	0.000811	91.274438
0.193000	9.100739	-0.068743	91.213801
0.194000	9.125311	-0.161482	91.155778
0.195000	9.149882	-0.242629	91.108733
0.196000	9.186739	-0.323775	91.086255
0.197000	9.223596	-0.416515	91.070573
0.198000	9.248168	-0.520846	91.063255
0.199000	9.260453	-0.613585	91.072664
0.242750	9.260453	-0.706324	91.109255
0.243750	9.260453	-0.775879	91.160483
0.244750	9.260453	-0.857025	91.234188
0.245750	9.285025	-0.903395	91.331938
0.246750	9.309596	-0.972949	91.454256
0.247750	9.334167	-1.054096	91.587552
0.248750	9.334167	-1.100465	91.717712
0.249750	9.321882	-1.112058	91.862508
0.250750	9.334167	-1.123650	92.007304
0.251750	9.334167	-1.135243	92.181372
0.252750	9.334167	-1.135243	92.353873
0.253750	9.334167	-1.112058	92.530555
0.254750	9.334167	-1.100465	92.689988
0.255750	9.334167	-1.088873	92.837397
0.256750	9.321882	-1.054096	92.975920
0.257750	9.334167	-0.996134	93.106080
0.258750	9.346453	-0.961357	93.220557
0.259750	9.371024	-0.938172	93.307853
0.260750	9.371024	-0.914987	93.387831
0.261750	9.371024	-0.868618	93.458922
0.262750	9.358739	-0.857025	93.513808
0.263750	9.346453	-0.810656	93.540467
0.264750	9.334167	-0.752694	93.551968
0.265750	9.334167	-0.741101	93.574968
0.266750	9.321882	-0.729509	93.570263
0.267750	9.285025	-0.717917	93.560331
0.268750	9.248168	-0.706324	93.527922
0.269750	9.223596	-0.683139	93.493945
0.270750	9.186739	-0.671547	93.443763
0.271750	9.162168	-0.659955	93.395672
0.272750	9.149882	-0.671547	93.340262
0.273750	9.149882	-0.694732	93.287989
0.274750	9.137597	-0.729509	93.233626
0.275750	9.113025	-0.764286	93.179785
0.276750	9.100739	-0.775879	93.122807
0.277750	9.100739	-0.810656	93.061125
0.278750	9.088454	-0.857025	92.995784
0.279750	9.076168	-0.857025	92.930966
0.280750	9.051597	-0.857025	92.880784
0.281750	9.027025	-0.845433	92.842102
0.282750	9.014740	-0.799063	92.799238
0.283750	9.014740	-0.764286	92.771533
0.284750	9.039311	-0.729509	92.747488
0.285750	9.051597	-0.694732	92.725010
0.286750	9.051597	-0.683139	92.700965
0.287750	9.063882	-0.671547	92.691033
0.288750	9.051597	-0.659955	92.682669
0.289750	9.027025	-0.601993	92.680056
0.290750	9.002454	-0.544031	92.676397
0.291750	8.965597	-0.486069	92.672215
0.292750	8.965597	-0.404922	92.673260
0.293750	8.941026	-0.346960	92.692078
0.294750	8.916454	-0.277406	92.706192
0.295750	8.916454	-0.207852	92.717169
0.296750	8.916454	-0.161482	92.735988
0.297750	8.941026	-0.138297	92.751147
0.298750	8.953311	-0.126705	92.750624
0.299750	8.941026	-0.115112	92.741215
0.300750	8.928740	-0.103520	92.728147
0.301750	8.904169	-0.103520	92.707760
0.302750	8.904169	-0.103520	92.691556
0.303750	8.904169	-0.080335	92.671692
0.304750	8.916454	-0.057150	92.648692
0.305750	8.941026	-0.045558	92.621510
0.306750	8.953311	-0.057150	92.592760
0.307750	8.977883	-0.068743	92.559828
0.308750	9.027025	-0.080335	92.527942
0.309750	9.039311	-0.103520	92.485078
0.310750	9.088454	-0.103520	92.426532
0.311750	9.137597	-0.103520	92.372168
0.312750	9.162168	-0.115112	92.319373
0.313750	9.174454	-0.138297	92.255077
0.314750	9.174454	-0.138297	92.186600
0.315750	9.186739	-0.138297	92.130145
0.316750	9.223596	-0.173074	92.084145
0.317750	9.272739	-0.219444	92.039713
0.318750	9.321882	-0.265813	92.001554
0.319750	9.358739	-0.312183	91.969667
0.320750	9.395596	-0.370145	91.943008
0.321750	9.407881	-0.428107	91.913212
0.322750	9.432453	-0.462884	91.898576
0.323750	9.469310	-0.497661	91.881326
