Tiempo	Ankle Flex/Ext	Knee Int/Ext R.	Inversion/Eversion
0.000000	10.760498	-4.274470	-104.166053
0.001000	10.747859	-4.265744	-104.170757
0.002000	10.735219	-4.265744	-104.177030
0.003000	10.722580	-4.265744	-104.180689
0.004000	10.697301	-4.283196	-104.183303
0.005000	10.672022	-4.283196	-104.180166
0.006000	10.646743	-4.291922	-104.178598
0.007000	10.634103	-4.309375	-104.178076
0.008000	10.621464	-4.309375	-104.176507
0.009000	10.596185	-4.318101	-104.171803
0.010000	10.570906	-4.309375	-104.177030
0.011000	10.532988	-4.283196	-104.180166
0.012000	10.495069	-4.274470	-104.185394
0.013000	10.469790	-4.257017	-104.195326
0.014000	10.431872	-4.230839	-104.201598
0.015000	10.393953	-4.204660	-104.208394
0.016000	10.356035	-4.187207	-104.210485
0.017000	10.318116	-4.178481	-104.211530
0.018000	10.267558	-4.169755	-104.213621
0.019000	10.217000	-4.161029	-104.211530
0.020000	10.166443	-4.161029	-104.213621
0.021000	10.141164	-4.143576	-104.211007
0.022000	10.115885	-4.143576	-104.201076
0.023000	10.090606	-4.143576	-104.190621
0.024000	10.040048	-4.152302	-104.177553
0.025000	9.989490	-4.178481	-104.159780
0.026000	9.964211	-4.204660	-104.142007
0.027000	9.938932	-4.230839	-104.114825
0.028000	9.926292	-4.274470	-104.086598
0.029000	9.913653	-4.309375	-104.056280
0.030000	9.901013	-4.335554	-104.022302
0.031000	9.901013	-4.353006	-103.993030
0.032000	9.901013	-4.361732	-103.963757
0.033000	9.901013	-4.379185	-103.938666
0.034000	9.901013	-4.379185	-103.917234
0.035000	9.926292	-4.379185	-103.902597
0.036000	9.938932	-4.387911	-103.901552
0.037000	9.938932	-4.379185	-103.898938
0.038000	9.926292	-4.387911	-103.901552
0.039000	9.913653	-4.379185	-103.919847
0.040000	9.901013	-4.370459	-103.930825
0.041000	9.901013	-4.344280	-103.942848
0.042000	9.913653	-4.309375	-103.954870
0.043000	9.913653	-4.283196	-103.962189
0.044000	9.913653	-4.265744	-103.972643
0.045000	9.926292	-4.230839	-103.987280
0.046000	9.938932	-4.187207	-104.004530
0.047000	9.951571	-4.161029	-104.024916
0.048000	9.976850	-4.143576	-104.043734
0.049000	10.002129	-4.143576	-104.068303
0.050000	10.027408	-4.126124	-104.092871
0.051000	10.052687	-4.117397	-104.121098
0.052000	10.065327	-4.108671	-104.144621
0.053000	10.103245	-4.082492	-104.159780
0.054000	10.166443	-4.073766	-104.180689
0.055000	10.229640	-4.047587	-104.206303
0.056000	10.292837	-4.030135	-104.221985
0.057000	10.356035	-4.012682	-104.251780
0.058000	10.419232	-4.003956	-104.284712
0.059000	10.457151	-3.986503	-104.323394
0.060000	10.495069	-3.960325	-104.377235
0.061000	10.532988	-3.942872	-104.430031
0.062000	10.558267	-3.934146	-104.484917
0.063000	10.583546	-3.942872	-104.540849
0.064000	10.608824	-3.934146	-104.593122
0.065000	10.621464	-3.925420	-104.645395
0.066000	10.634103	-3.899241	-104.687736
0.067000	10.646743	-3.881788	-104.727464
0.068000	10.659382	-3.873062	-104.757259
0.069000	10.672022	-3.864336	-104.786532
0.070000	10.672022	-3.873062	-104.817373
0.071000	10.659382	-3.873062	-104.843509
0.072000	10.646743	-3.881788	-104.861282
0.073000	10.634103	-3.890515	-104.886373
0.074000	10.621464	-3.899241	-104.898919
0.075000	10.608824	-3.907967	-104.908328
0.076000	10.608824	-3.925420	-104.919828
0.077000	10.608824	-3.942872	-104.920873
0.078000	10.608824	-3.951598	-104.924532
0.079000	10.608824	-3.960325	-104.925578
0.080000	10.608824	-3.951598	-104.925578
0.081000	10.621464	-3.951598	-104.928714
0.082000	10.621464	-3.951598	-104.936032
0.083000	10.621464	-3.969051	-104.952237
0.084000	10.621464	-3.986503	-104.975760
0.085000	10.621464	-3.995230	-105.013396
0.086000	10.608824	-3.995230	-105.053124
0.087000	10.596185	-3.977777	-105.089715
0.088000	10.583546	-3.951598	-105.121601
0.089000	10.570906	-3.925420	-105.155056
0.090000	10.558267	-3.907967	-105.176488
0.091000	10.545627	-3.899241	-105.203670
0.092000	10.532988	-3.890515	-105.225102
0.093000	10.520348	-3.890515	-105.235556
