Tiempo	Ankle Flex/Ext	Knee Int/Ext R.	Inversion/Eversion
0.000000	13.553824	1.964804	-100.364246
0.001000	13.566464	2.008435	-100.370518
0.002000	13.579103	2.034614	-100.379927
0.003000	13.617022	2.060793	-100.391950
0.004000	13.680219	2.086972	-100.414428
0.005000	13.705498	2.121877	-100.444223
0.006000	13.730777	2.130603	-100.475587
0.007000	13.756056	2.139329	-100.507996
0.008000	13.768695	2.148055	-100.550337
0.009000	13.781335	2.156782	-100.593724
0.010000	13.793974	2.174234	-100.642860
0.011000	13.819253	2.191687	-100.682065
0.012000	13.831893	2.217866	-100.719179
0.013000	13.831893	2.226592	-100.761520
0.014000	13.806614	2.235318	-100.803861
0.015000	13.781335	2.244044	-100.844111
0.016000	13.743417	2.244044	-100.883315
0.017000	13.718138	2.244044	-100.920952
0.018000	13.692859	2.226592	-100.952316
0.019000	13.667580	2.226592	-100.973747
0.020000	13.629661	2.217866	-100.988907
0.021000	13.579103	2.209139	-100.988907
0.022000	13.566464	2.209139	-100.983679
0.023000	13.553824	2.226592	-100.976361
0.024000	13.541185	2.244044	-100.974270
0.025000	13.553824	2.235318	-100.963816
0.026000	13.553824	2.235318	-100.951793
0.027000	13.553824	2.209139	-100.937679
0.028000	13.541185	2.182961	-100.929838
0.029000	13.528545	2.156782	-100.919384
0.030000	13.528545	2.139329	-100.903702
0.031000	13.541185	2.139329	-100.876520
0.032000	13.553824	2.139329	-100.852997
0.033000	13.566464	2.139329	-100.831042
0.034000	13.591743	2.139329	-100.813792
0.035000	13.617022	2.148055	-100.804906
0.036000	13.642301	2.139329	-100.794451
0.037000	13.667580	2.121877	-100.783997
0.038000	13.680219	2.095698	-100.781383
0.039000	13.680219	2.043340	-100.777724
0.040000	13.680219	1.999709	-100.770929
0.041000	13.680219	1.956078	-100.756815
0.042000	13.667580	1.929899	-100.746360
0.043000	13.680219	1.886268	-100.734860
0.044000	13.692859	1.860089	-100.714997
0.045000	13.680219	1.833910	-100.686769
0.046000	13.667580	1.816458	-100.658542
0.047000	13.667580	1.807731	-100.625087
0.048000	13.680219	1.781553	-100.597383
0.049000	13.692859	1.755374	-100.557133
0.050000	13.705498	1.729195	-100.511655
0.051000	13.705498	1.703016	-100.458337
0.052000	13.692859	1.685564	-100.396132
0.053000	13.680219	1.685564	-100.339677
0.054000	13.667580	1.694290	-100.283745
0.055000	13.680219	1.711743	-100.224154
0.056000	13.692859	1.755374	-100.168222
0.057000	13.692859	1.799005	-100.116472
0.058000	13.692859	1.842636	-100.068381
0.059000	13.692859	1.894994	-100.018722
0.060000	13.667580	1.964804	-99.968017
0.061000	13.642301	2.043340	-99.924631
0.062000	13.654940	2.121877	-99.884903
0.063000	13.667580	2.182961	-99.846221
0.064000	13.667580	2.226592	-99.819039
0.065000	13.654940	2.261497	-99.795517
0.066000	13.642301	2.296402	-99.787676
0.067000	13.629661	2.340033	-99.788198
0.068000	13.617022	2.383664	-99.794471
0.069000	13.642301	2.409843	-99.811198
0.070000	13.667580	2.418569	-99.834721
0.071000	13.692859	2.436022	-99.866085
0.072000	13.692859	2.453475	-99.907381
0.073000	13.680219	2.470927	-99.944494
0.074000	13.692859	2.470927	-99.979517
0.075000	13.705498	2.470927	-100.012972
0.076000	13.718138	2.453475	-100.046426
0.077000	13.756056	2.418569	-100.081449
0.078000	13.793974	2.374938	-100.113858
0.079000	13.819253	2.340033	-100.152540
0.080000	13.831893	2.313854	-100.189131
0.081000	13.831893	2.296402	-100.222063
0.082000	13.831893	2.278949	-100.257086
0.083000	13.831893	2.261497	-100.286882
0.084000	13.844532	2.226592	-100.314064
0.085000	13.857172	2.191687	-100.338109
0.086000	13.831893	2.156782	-100.355359
0.087000	13.806614	2.139329	-100.363723
0.088000	13.781335	2.104424	-100.366337
0.089000	13.781335	2.078245	-100.362155
0.090000	13.806614	2.034614	-100.361632
0.091000	13.819253	1.999709	-100.363200
0.092000	13.831893	1.964804	-100.366859
0.093000	13.844532	1.947352	-100.378359
0.094000	13.844532	1.947352	-100.395087
0.095000	13.831893	1.956078	-100.408155
0.096000	13.819253	1.947352	-100.410768
0.097000	13.819253	1.929899	-100.417041
0.098000	13.844532	1.912447	-100.413905
0.099000	13.869811	1.912447	-100.401359
0.100000	13.895090	1.921173	-100.386200
0.101000	13.895090	1.938625	-100.367382
0.102000	13.895090	1.956078	-100.354836
0.103000	13.895090	1.990983	-100.344905
0.104000	13.895090	1.999709	-100.341246
0.105000	13.895090	2.008435	-100.330791
0.106000	13.882451	1.999709	-100.318245
0.107000	13.857172	1.999709	-100.305700
0.108000	13.831893	1.999709	-100.297336
0.109000	13.806614	1.999709	-100.287404
0.110000	13.781335	1.990983	-100.268063
0.111000	13.756056	1.973530	-100.238268
0.112000	13.756056	1.938625	-100.217882
0.113000	13.756056	1.912447	-100.203245
0.114000	13.768695	1.894994	-100.187041
0.115000	13.756056	1.868815	-100.184427
0.116000	13.743417	1.833910	-100.190700
0.117000	13.718138	1.790279	-100.201154
0.118000	13.705498	1.746648	-100.210563
0.119000	13.692859	1.694290	-100.211609
0.120000	13.692859	1.633206	-100.212131
0.121000	13.692859	1.589575	-100.206904
0.122000	13.692859	1.563396	-100.212654
0.123000	13.692859	1.554670	-100.223632
0.124000	13.692859	1.554670	-100.236177
0.125000	13.692859	1.554670	-100.240882
0.126000	13.692859	1.554670	-100.244018
0.127000	13.692859	1.554670	-100.247677
0.128000	13.680219	1.545944	-100.257609
0.129000	13.654940	1.545944	-100.264404
0.130000	13.629661	1.545944	-100.278518
0.131000	13.591743	1.563396	-100.294200
0.132000	13.579103	1.598301	-100.307268
0.133000	13.553824	1.633206	-100.315632
0.134000	13.541185	1.650659	-100.321382
0.135000	13.528545	1.668111	-100.331314
0.136000	13.515906	1.711743	-100.347518
0.137000	13.503266	1.755374	-100.365291
0.138000	13.477987	1.799005	-100.385677
0.139000	13.465348	1.833910	-100.403450
0.140000	13.452708	1.860089	-100.423314
0.141000	13.440069	1.868815	-100.442655
0.142000	13.427429	1.877542	-100.468791
0.143000	13.402150	1.886268	-100.498587
0.144000	13.364232	1.894994	-100.530473
0.145000	13.351593	1.912447	-100.558178
0.146000	13.338953	1.929899	-100.581178
0.147000	13.313674	1.947352	-100.591110
0.148000	13.275756	1.938625	-100.596337
0.149000	13.225198	1.921173	-100.595292
0.150000	13.199919	1.903720	-100.596860
0.151000	13.174640	1.912447	-100.596337
0.152000	13.149361	1.912447	-100.596337
0.153000	13.124082	1.877542	-100.595292
0.154000	13.111442	1.851363	-100.589542
0.155000	13.124082	1.833910	-100.584314
0.156000	13.111442	1.816458	-100.579610
0.157000	13.098803	1.799005	-100.563928
0.158000	13.086163	1.790279	-100.548246
0.159000	13.073524	1.790279	-100.527860
0.160000	13.086163	1.790279	-100.504337
0.161000	13.111442	1.790279	-100.481860
0.162000	13.111442	1.781553	-100.463564
0.163000	13.098803	1.772826	-100.449973
0.164000	13.111442	1.764100	-100.442655
0.165000	13.149361	1.764100	-100.440564
0.166000	13.187279	1.764100	-100.438996
0.167000	13.199919	1.772826	-100.430109
0.168000	13.225198	1.772826	-100.420178
