TIME,A Flex/Ext,Knee Int/Ext R,A I/E
0,16.545041,-3.698139,-15.631211
0.001,16.513762,-3.711363,-15.407742
0.002,16.503336,-3.724586,-15.228966
0.003,16.49291,-3.744421,-15.050191
0.004,16.49291,-3.77748,-14.91611
0.005,16.49291,-3.810539,-14.960804
0.006,16.49291,-3.843597,-15.005497
0.007,16.49291,-3.870044,-15.094885
0.008,16.503336,-3.883268,-15.228966
0.009,16.513762,-3.896491,-15.318354
0.01,16.524189,-3.909715,-15.363048
0.011,16.545041,-3.909715,-15.452435
0.012,16.565893,-3.909715,-15.541823
0.013,16.586745,-3.909715,-15.720598
0.014,16.597171,-3.909715,-15.899373
0.015,16.607597,-3.909715,-16.122842
0.016,16.597171,-3.909715,-16.391005
0.017,16.618023,-3.909715,-16.614474
0.018,16.670154,-3.916326,-16.837943
0.019,16.711858,-3.916326,-16.972025
0.02,16.753562,-3.903103,-17.106106
0.021,16.805693,-3.883268,-17.284881
0.022,16.857823,-3.863433,-17.329575
0.023,16.909953,-3.843597,-17.374269
0.024,16.962084,-3.836986,-17.463656
0.025,16.993362,-3.836986,-17.50835
0.026,17.035066,-3.836986,-17.597738
0.027,17.076771,-3.843597,-17.687126
0.028,17.118475,-3.843597,-17.731819
0.029,17.160179,-3.843597,-17.776513
0.03,17.21231,-3.836986,-17.731819
0.031,17.26444,-3.823762,-17.642432
0.032,17.316571,-3.810539,-17.597738
0.033,17.379127,-3.803927,-17.553044
0.034,17.420831,-3.797315,-17.463656
0.035,17.441683,-3.77748,-17.374269
0.036,17.45211,-3.764257,-17.374269
0.037,17.462536,-3.751033,-17.418963
0.038,17.45211,-3.73781,-17.418963
0.039,17.441683,-3.724586,-17.463656
0.04,17.431257,-3.711363,-17.463656
0.041,17.420831,-3.691528,-17.418963
0.042,17.420831,-3.671692,-17.374269
0.043,17.399979,-3.651857,-17.329575
0.044,17.379127,-3.618798,-17.284881
0.045,17.358275,-3.598963,-17.195494
0.046,17.337423,-3.572516,-17.106106
0.047,17.295718,-3.565905,-17.106106
0.048,17.254014,-3.572516,-17.195494
0.049,17.21231,-3.58574,-17.195494
0.05,17.170605,-3.58574,-17.240187
0.051,17.128901,-3.58574,-17.329575
0.052,17.076771,-3.592352,-17.418963
0.053,17.045492,-3.605575,-17.463656
0.054,17.014214,-3.632022,-17.463656
0.055,16.993362,-3.658469,-17.418963
0.056,16.97251,-3.684916,-17.374269
0.057,16.951658,-3.711363,-17.418963
0.058,16.930806,-3.73781,-17.418963
0.059,16.909953,-3.764257,-17.374269
