TIME,A Flex/Ext,Knee Int/Ext R,A I/E
0,20.506951,-1.833631,-20.011203
0.001,20.465246,-1.846855,-19.877122
0.002,20.40269,-1.86669,-19.74304
0.003,20.340133,-1.879913,-19.608959
0.004,20.277577,-1.873302,-19.519571
0.005,20.225447,-1.860078,-19.474878
0.006,20.183742,-1.846855,-19.38549
0.007,20.142038,-1.846855,-19.251409
0.008,20.100334,-1.846855,-19.072633
0.009,20.069055,-1.846855,-18.983246
0.01,20.037777,-1.833631,-18.893858
0.011,20.016925,-1.820408,-18.849164
0.012,19.996073,-1.800573,-18.759777
0.013,19.975221,-1.780737,-18.625695
0.014,19.954369,-1.760902,-18.357533
0.015,19.933516,-1.741067,-18.178757
0.016,19.912664,-1.721232,-17.955288
0.017,19.902238,-1.701397,-17.865901
0.018,19.881386,-1.688173,-17.776513
0.019,19.87096,-1.668338,-17.687126
0.02,19.860534,-1.661726,-17.597738
0.021,19.850108,-1.681561,-17.374269
0.022,19.839682,-1.71462,-17.195494
0.023,19.829256,-1.747679,-17.061412
0.024,19.818829,-1.774126,-17.016718
0.025,19.808403,-1.800573,-17.016718
0.026,19.797977,-1.827019,-16.972025
0.027,19.787551,-1.860078,-16.882637
0.028,19.766699,-1.893137,-16.748556
0.029,19.745847,-1.919584,-16.703862
0.03,19.735421,-1.946031,-16.703862
0.031,19.724995,-1.972478,-16.837943
0.032,19.714569,-1.998924,-16.927331
0.033,19.704143,-2.025371,-17.061412
0.034,19.693717,-2.051818,-17.061412
0.035,19.693717,-2.078265,-17.061412
0.036,19.693717,-2.104712,-17.061412
0.037,19.693717,-2.117936,-17.061412
0.038,19.693717,-2.111324,-17.195494
0.039,19.693717,-2.0981,-17.240187
0.04,19.704143,-2.091489,-17.329575
0.041,19.714569,-2.084877,-17.374269
0.042,19.735421,-2.084877,-17.463656
0.043,19.756273,-2.084877,-17.50835
0.044,19.777125,-2.091489,-17.597738
0.045,19.829256,-2.104712,-17.642432
0.046,19.891812,-2.124547,-17.597738
0.047,19.933516,-2.157606,-17.597738
0.048,19.975221,-2.190665,-17.553044
0.049,20.016925,-2.223723,-17.50835
0.05,20.058629,-2.256782,-17.463656
0.051,20.11076,-2.289841,-17.50835
0.052,20.16289,-2.303064,-17.553044
0.053,20.215021,-2.309676,-17.642432
0.054,20.267151,-2.322899,-17.731819
0.055,20.329707,-2.349346,-17.821207
0.056,20.392264,-2.375793,-17.955288
0.057,20.433968,-2.389017,-18.044676
0.058,20.475672,-2.40224,-18.08937
0.059,20.496525,-2.40224,-18.044676
0.06,20.517377,-2.395628,-18.044676
0.061,20.538229,-2.382405,-17.999982
0.062,20.538229,-2.355958,-17.999982
