Tiempo	Ankle Flex/Ext	Knee Int/Ext R.	Inversion/Eversion
0.010000	-0.405269	1.813394	-42.055406
0.011000	-0.432105	1.733270	-42.055929
0.012000	-0.441050	1.653147	-42.056974
0.013000	-0.458941	1.593054	-42.059065
0.014000	-0.476832	1.552993	-42.060634
0.015000	-0.485777	1.542977	-42.061679
0.016000	-0.503668	1.522946	-42.063247
0.017000	-0.503668	1.522946	-42.063247
0.018000	-0.512613	1.522946	-42.063247
0.019000	-0.521558	1.512931	-42.063247
0.020000	-0.539449	1.492900	-42.064815
0.021000	-0.539449	1.502915	-42.065861
0.022000	-0.521558	1.522946	-42.067952
0.023000	-0.512613	1.542977	-42.069520
0.024000	-0.494722	1.563008	-42.070565
0.025000	-0.476832	1.583039	-42.071611
0.026000	-0.449996	1.643131	-42.072656
0.027000	-0.414214	1.703224	-42.073179
0.028000	-0.369487	1.743286	-42.074224
0.029000	-0.333706	1.803378	-42.075270
0.030000	-0.280034	1.853455	-42.075793
0.031000	-0.226362	1.883502	-42.076838
0.032000	-0.181635	1.873486	-42.077884
0.033000	-0.136908	1.873486	-42.077884
0.034000	-0.101127	1.883502	-42.079452
0.035000	-0.065346	1.883502	-42.081020
0.036000	-0.029564	1.893517	-42.082588
0.037000	0.015162	1.933579	-42.084156
0.038000	0.041998	1.953610	-42.085725
0.039000	0.050944	1.953610	-42.087293
0.040000	0.059889	1.943594	-42.088861
0.041000	0.050944	1.943594	-42.089906
0.042000	0.041998	1.933579	-42.090952
0.043000	0.024108	1.883502	-42.091997
0.044000	0.006217	1.833425	-42.092520
0.045000	-0.002728	1.803378	-42.093043
0.046000	-0.011674	1.773332	-42.093565
0.047000	-0.029564	1.743286	-42.094088
0.048000	-0.047455	1.733270	-42.093565
0.049000	-0.065346	1.753301	-42.093043
0.050000	-0.092182	1.783347	-42.093043
0.051000	-0.119018	1.793363	-42.093043
0.052000	-0.145854	1.823409	-42.093043
0.053000	-0.172690	1.863471	-42.093043
0.054000	-0.190581	1.883502	-42.092520
0.055000	-0.190581	1.893517	-42.091475
0.056000	-0.172690	1.913548	-42.089906
0.057000	-0.163745	1.953610	-42.087815
0.058000	-0.145854	1.963625	-42.086770
0.059000	-0.136908	2.003687	-42.085725
0.060000	-0.127963	2.083810	-42.084679
0.061000	-0.119018	2.173949	-42.084679
0.062000	-0.119018	2.244057	-42.084156
0.063000	-0.127963	2.304150	-42.084156
0.064000	-0.136908	2.354227	-42.084156
0.065000	-0.145854	2.394289	-42.084156
0.066000	-0.154799	2.424335	-42.083634
0.067000	-0.145854	2.444366	-42.083634
0.068000	-0.136908	2.474412	-42.082588
0.069000	-0.127963	2.484428	-42.081543
0.070000	-0.119018	2.484428	-42.079975
0.071000	-0.119018	2.474412	-42.077361
0.072000	-0.127963	2.484428	-42.075793
0.073000	-0.145854	2.514474	-42.073702
0.074000	-0.145854	2.524489	-42.072656
0.075000	-0.145854	2.554536	-42.071088
0.076000	-0.127963	2.554536	-42.069520
0.077000	-0.110072	2.524489	-42.067952
0.078000	-0.092182	2.484428	-42.065861
0.079000	-0.074291	2.454381	-42.064293
0.080000	-0.038510	2.424335	-42.061156
0.081000	0.006217	2.414320	-42.057497
0.082000	0.050944	2.394289	-42.054361
0.083000	0.095670	2.364242	-42.052270
0.084000	0.131452	2.334196	-42.049134
0.085000	0.167233	2.314165	-42.046520
0.086000	0.203015	2.304150	-42.043383
0.087000	0.238796	2.294134	-42.041293
0.088000	0.265632	2.294134	-42.040770
0.089000	0.292468	2.284119	-42.039724
0.090000	0.319304	2.244057	-42.039202
0.091000	0.337195	2.234042	-42.038679
0.092000	0.355085	2.244057	-42.038679
0.093000	0.364031	2.274104	-42.038679
0.094000	0.372976	2.314165	-42.038679
0.095000	0.381921	2.344212	-42.039202
0.096000	0.381921	2.384273	-42.040770
0.097000	0.364031	2.424335	-42.043906
0.098000	0.328249	2.454381	-42.048088
0.099000	0.292468	2.484428	-42.052793
0.100000	0.256687	2.544520	-42.056974
0.101000	0.220905	2.594597	-42.061679
0.102000	0.176179	2.634659	-42.066384
0.103000	0.122506	2.674721	-42.072656
0.104000	0.068834	2.714782	-42.078406
0.105000	0.024108	2.764860	-42.083111
0.106000	-0.029564	2.814937	-42.087815
0.107000	-0.083236	2.885045	-42.091997
0.108000	-0.136908	2.915091	-42.095134
0.109000	-0.190581	2.925106	-42.096702
0.110000	-0.244253	2.915091	-42.098270
0.111000	-0.297925	2.905076	-42.099838
0.112000	-0.351597	2.915091	-42.100361
0.113000	-0.387378	2.915091	-42.099315
0.114000	-0.414214	2.915091	-42.097225
0.115000	-0.432105	2.915091	-42.094611
0.116000	-0.449996	2.945137	-42.091475
0.117000	-0.467886	2.945137	-42.088338
0.118000	-0.494722	2.955153	-42.085202
0.119000	-0.503668	2.965168	-42.082065
0.120000	-0.494722	2.975184	-42.077884
0.121000	-0.485777	2.985199	-42.074224
0.122000	-0.476832	2.985199	-42.071611
0.123000	-0.449996	2.985199	-42.068997
0.124000	-0.432105	2.965168	-42.067429
0.125000	-0.414214	2.985199	-42.066384
0.126000	-0.396323	2.995215	-42.066906
0.127000	-0.378433	3.015245	-42.067952
0.128000	-0.360542	3.045292	-42.068997
0.129000	-0.342651	3.045292	-42.070565
0.130000	-0.333706	3.045292	-42.072656
0.131000	-0.315815	3.045292	-42.075270
0.132000	-0.297925	3.045292	-42.077884
0.133000	-0.280034	3.015245	-42.079975
0.134000	-0.253198	2.995215	-42.081543
0.135000	-0.208471	2.985199	-42.083111
0.136000	-0.172690	2.965168	-42.084679
0.137000	-0.145854	2.955153	-42.085725
0.138000	-0.119018	2.945137	-42.085725
0.139000	-0.074291	2.935122	-42.084679
0.140000	-0.038510	2.915091	-42.083634
0.141000	0.015162	2.885045	-42.082065
0.142000	0.059889	2.834968	-42.079975
0.143000	0.104616	2.794906	-42.077361
0.144000	0.149343	2.764860	-42.073702
0.145000	0.194069	2.724798	-42.070043
0.146000	0.238796	2.714782	-42.066906
0.147000	0.283523	2.714782	-42.063770
0.148000	0.310359	2.714782	-42.061156
0.149000	0.337195	2.704767	-42.059065
0.150000	0.364031	2.694752	-42.058020
0.151000	0.364031	2.684736	-42.058020
0.152000	0.355085	2.654690	-42.058020
0.153000	0.337195	2.644674	-42.058543
0.154000	0.319304	2.614628	-42.059065
0.155000	0.301413	2.574566	-42.059588
0.156000	0.256687	2.534505	-42.061156
0.157000	0.211960	2.514474	-42.062724
0.158000	0.158288	2.534505	-42.064293
0.159000	0.113561	2.544520	-42.066906
0.160000	0.068834	2.554536	-42.069520
0.161000	0.024108	2.544520	-42.073179
0.162000	-0.020619	2.524489	-42.076838
0.163000	-0.056400	2.494443	-42.079452
0.164000	-0.092182	2.424335	-42.082065
0.165000	-0.119018	2.344212	-42.084679
0.166000	-0.154799	2.284119	-42.086247
0.167000	-0.199526	2.254073	-42.087293
0.168000	-0.217417	2.234042	-42.087815
0.169000	-0.235307	2.224026	-42.088338
0.170000	-0.235307	2.214011	-42.087815
0.171000	-0.244253	2.214011	-42.088861
0.172000	-0.253198	2.224026	-42.090429
0.173000	-0.262143	2.234042	-42.091475
0.174000	-0.271089	2.224026	-42.091997
0.175000	-0.288979	2.183965	-42.091997
0.176000	-0.297925	2.153918	-42.091475
0.177000	-0.306870	2.133888	-42.091475
0.178000	-0.306870	2.123872	-42.090952
0.179000	-0.315815	2.133888	-42.090429
0.180000	-0.351597	2.143903	-42.090429
0.181000	-0.387378	2.203996	-42.089906
0.182000	-0.414214	2.284119	-42.087815
0.183000	-0.423159	2.344212	-42.086247
0.184000	-0.414214	2.374258	-42.084679
0.185000	-0.414214	2.384273	-42.083111
0.186000	-0.423159	2.404304	-42.081020
0.187000	-0.449996	2.404304	-42.079452
0.188000	-0.458941	2.394289	-42.075793
0.189000	-0.467886	2.394289	-42.073179
0.190000	-0.458941	2.394289	-42.070565
0.191000	-0.449996	2.404304	-42.068997
0.192000	-0.423159	2.424335	-42.068474
0.193000	-0.405269	2.444366	-42.067952
0.194000	-0.387378	2.454381	-42.066384
0.195000	-0.387378	2.474412	-42.064293
0.196000	-0.369487	2.484428	-42.062202
0.197000	-0.324761	2.504458	-42.060111
0.198000	-0.288979	2.494443	-42.059065
0.199000	-0.271089	2.474412	-42.059065
0.000000	10.659382	-0.164403	-107.672518
0.001000	10.659382	-0.146950	-107.673564
0.002000	10.659382	-0.120771	-107.677223
0.003000	10.659382	-0.094593	-107.679836
0.004000	10.659382	-0.068414	-107.677223
0.005000	10.646743	-0.033509	-107.663632
0.006000	10.634103	-0.007330	-107.654745
0.007000	10.659382	0.018849	-107.645859
0.008000	10.672022	0.036301	-107.636450
0.009000	10.684661	0.088659	-107.631223
0.010000	10.709940	0.132290	-107.639064
0.011000	10.735219	0.167195	-107.659450
0.012000	10.760498	0.202100	-107.684018
0.013000	10.785777	0.219553	-107.723746
0.014000	10.811056	0.237005	-107.768700
0.015000	10.836335	0.228279	-107.817314
0.016000	10.861614	0.228279	-107.872201
0.017000	10.874254	0.228279	-107.932837
0.018000	10.886893	0.228279	-107.992951
0.019000	10.899533	0.228279	-108.045224
0.020000	10.912172	0.228279	-108.092269
0.021000	10.924812	0.228279	-108.136701
0.022000	10.924812	0.219553	-108.191588
0.023000	10.924812	0.202100	-108.244384
0.024000	10.886893	0.184648	-108.295611
0.025000	10.848975	0.175921	-108.346838
0.026000	10.811056	0.132290	-108.390225
0.027000	10.773138	0.079933	-108.424202
0.028000	10.735219	0.010122	-108.450862
0.029000	10.697301	-0.059688	-108.472293
0.030000	10.646743	-0.120771	-108.478566
0.031000	10.596185	-0.181855	-108.482225
0.032000	10.545627	-0.216760	-108.481703
0.033000	10.495069	-0.269118	-108.472816
0.034000	10.457151	-0.321475	-108.456089
0.035000	10.419232	-0.373833	-108.439361
0.036000	10.381314	-0.426190	-108.421066
0.037000	10.343395	-0.478548	-108.403293
0.038000	10.318116	-0.530905	-108.387089
0.039000	10.292837	-0.583263	-108.359907
0.040000	10.254919	-0.626894	-108.326975
0.041000	10.229640	-0.670526	-108.288816
0.042000	10.204361	-0.714157	-108.250134
0.043000	10.179082	-0.731609	-108.212497
0.044000	10.153803	-0.740336	-108.168065
0.045000	10.128524	-0.722883	-108.126247
0.046000	10.103245	-0.696704	-108.082338
0.047000	10.103245	-0.670526	-108.045224
0.048000	10.115885	-0.644347	-108.007065
0.049000	10.128524	-0.626894	-107.974133
0.050000	10.141164	-0.600716	-107.946428
0.051000	10.153803	-0.565811	-107.924996
0.052000	10.166443	-0.530905	-107.905655
0.053000	10.179082	-0.487274	-107.893633
0.054000	10.191722	-0.443643	-107.885269
0.055000	10.179082	-0.391285	-107.884746
0.056000	10.191722	-0.347654	-107.891542
0.057000	10.229640	-0.304023	-107.903564
0.058000	10.267558	-0.260392	-107.921337
0.059000	10.305477	-0.216760	-107.941201
0.060000	10.356035	-0.181855	-107.964724
